"frame","meanBase","meanPPAO","meanPPDP","meanComb","rawBase2","rawBase3","rawPPAO2","rawPPAO3","rawPPDP2","rawPPDP3","rawComb2","rawComb3"
0,83.52630233765,27.0111103058,12.1492385864,13.52313280105,85.4139328003,81.638671875,27.2536067963,26.7686138153,12.0761041641,12.2223730087,13.4448661804,13.6013994217
1,80.68921279905,26.6551914215,12.25881147385,13.37814760205,80.2093505859,81.1690750122,26.7352542877,26.5751285553,12.0047664642,12.5128564835,13.2241811752,13.5321140289
2,82.89966201785,26.36111450195,12.14667224885,13.52390289305,84.0764770508,81.7228469849,26.535610199,26.1866188049,12.1936321259,12.0997123718,13.7574186325,13.2903871536
3,82.31022644045,27.4183511734,13.38379335405,13.7720456123,83.5288696289,81.091583252,26.9220657349,27.9146366119,13.639377594,13.1282091141,13.7779474258,13.7661437988
4,81.5424461365,26.51662158965,12.5469856262,13.7209801674,81.4877853394,81.5971069336,26.3056869507,26.7275562286,12.4687194824,12.62525177,13.6588802338,13.783080101
5,81.8827133179,27.11555099485,12.10125255585,13.308093071,83.504234314,80.2611923218,26.5930919647,27.638010025,11.8908319473,12.3116731644,13.1092195511,13.5069665909
6,83.38516998295,27.88871860505,12.36299562455,13.75382614135,84.2088928223,82.5614471436,27.4157848358,28.3616523743,12.2464942932,12.4794969559,13.5711193085,13.9365329742
7,84.0990600586,27.56282424925,12.5623817444,13.6978845596,84.002571106,84.1955490112,27.5733451843,27.5523033142,12.6401348114,12.4846286774,13.6101236343,13.7856454849
8,84.83784103395,28.14173698425,12.8410615921,13.5682964325,86.3018035889,83.373878479,27.7334690094,28.5500049591,13.1246166229,12.5575065613,13.6111507416,13.5254421234
9,83.4503479004,28.28082084655,12.54955148695,13.61884880065,84.0621109009,82.8385848999,28.660861969,27.9007797241,12.4743642807,12.6247386932,13.7004508972,13.5372467041
10,85.56533432005,28.03729724885,12.4487037659,13.7030172348,86.7185440063,84.4121246338,27.9341392517,28.140455246,12.3850641251,12.5123434067,13.7091760635,13.6968584061
11,86.65490341185,29.1117258072,12.70018196105,14.0738196373,87.7691040039,85.5407028198,29.3834762573,28.8399753571,12.6806793213,12.7196846008,13.9642467499,14.1833925247
12,87.5389289856,28.22641849515,12.64834690095,14.03147888185,86.3182296753,88.7596282959,28.2395057678,28.2133312225,12.6113948822,12.6852989197,14.0135164261,14.0494413376
13,89.53689956665,28.56642913815,13.0276174545,13.91010236745,87.3036193848,91.7701797485,29.2351570129,27.8977012634,13.114865303,12.940369606,13.9929876328,13.8272171021
14,87.3249130249,28.0883626938,12.76638793945,14.15080308915,89.4365615845,85.2132644653,27.91771698,28.2590084076,12.6724681854,12.8603076935,14.1792869568,14.1223192215
15,88.9631195068,28.3506183624,12.96885347365,14.18980789185,89.5879669189,88.3382720947,28.5967082977,28.1045284271,13.113325119,12.8243818283,13.9827232361,14.3968925476
16,89.2002296448,29.5223035812,12.78152751925,14.13822889325,88.3244171143,90.0760421753,29.0129318237,30.0316753387,12.6996688843,12.8633861542,14.1525993347,14.1238584518
17,90.32444000245,29.78892230985,13.00169992445,14.44821453095,89.815322876,90.8335571289,29.2356700897,30.34217453,12.9526872635,13.0507125854,14.4045906067,14.4918384552
18,88.6888008118,28.45711231235,13.1192278862,14.2280430794,88.7796401978,88.5979614258,28.3185424805,28.5956821442,13.2590808868,12.9793748856,13.9288349152,14.5272512436
19,90.6380157471,28.59388542175,13.0999817848,14.2342019081,91.0901641846,90.1858673096,28.4668636322,28.7209072113,12.9942579269,13.2057056427,14.0735635757,14.3948402405
20,90.89976119995,28.9836769104,13.20416593555,14.19622325895,90.2633666992,91.5361557007,29.2130870819,28.7542667389,13.5192842484,12.8890476227,14.1782608032,14.2141857147
21,89.655708313,28.9803409576,12.9996471405,14.3535256386,89.9518356323,89.3595809937,29.5035705566,28.4571113586,13.2529220581,12.7463722229,14.1320705414,14.5749807358
22,92.97163391115,28.55590724945,13.3378601074,14.5570178032,96.2382888794,89.7049789429,28.4478740692,28.6639404297,13.3114290237,13.3642911911,14.3671255112,14.7469100952
23,90.26233673095,29.43351650235,13.22135829925,14.54033851625,89.9307937622,90.5938796997,29.0154972076,29.8515357971,13.3427352905,13.099981308,14.2429265976,14.8377504349
24,91.49021911625,28.7514448166,13.47976589205,14.5038995743,91.0562896729,91.9241485596,28.8209857941,28.6819038391,13.3011646271,13.658367157,14.5847320557,14.4230670929
25,91.45301055905,29.5897922516,13.1818404198,14.60603046415,91.5258865356,91.3801345825,29.3311290741,29.8484554291,13.2447099686,13.118970871,14.6709527969,14.5411081314
26,95.65013885495,29.162279129,13.34427547455,14.83056497575,93.4427719116,97.8575057983,28.7907066345,29.5338516235,13.2087850571,13.479765892,14.480547905,15.1805820465
27,94.09533309935,29.27672672275,13.58908176425,14.81953048705,92.9203109741,95.2703552246,29.2449073792,29.3085460663,13.6542606354,13.5239028931,14.7079048157,14.9311561584
28,95.34323120115,30.13098526,13.46154642105,14.9563040733,97.3391494751,93.3473129272,30.275970459,29.986000061,13.2965459824,13.6265468597,14.7987451553,15.1138629913
29,93.86951828,30.04065704345,13.8054051399,15.09872341155,94.1653900146,93.5736465454,30.6516475677,29.4296665192,13.7091760635,13.9016342163,15.1302862167,15.0671606064
30,97.1854400635,30.36090755465,14.4810614586,15.30503845215,99.1154098511,95.2554702759,30.5084590912,30.2133560181,14.512881279,14.4492416382,15.0379066467,15.5721702576
31,97.79822540285,30.67345905305,13.9709191322,15.09179496765,95.8990478516,99.6974029541,29.808423996,31.5384941101,13.8513383865,14.0904998779,14.8418560028,15.3417339325
32,94.85464477535,29.4971561432,13.92806482315,15.3306994438,94.8028106689,94.9064788818,29.3244571686,29.6698551178,14.0063314438,13.8497982025,15.0117321014,15.6496667862
33,96.5033721924,30.53796958925,14.0971713066,14.9924864769,95.2123641968,97.794380188,30.3447418213,30.7311973572,14.2809047699,13.9134378433,14.9321832657,15.0527896881
34,98.1495285032,30.4987077713,14.21315956115,15.5762758255,100.329177856,95.9698791504,30.6819286346,30.315486908,14.1248855591,14.3014335632,15.5634450912,15.5891065598
35,97.58626556395,30.31754016875,14.3504462242,15.4012675285,97.4541091919,97.718421936,29.9675235748,30.6675567627,14.5174999237,14.1833925247,15.3550777435,15.4474573135
36,98.58807754515,30.5459241867,14.12488555905,15.7068915367,99.5685882568,97.6075668335,31.1361293793,29.9557189941,14.0576534271,14.192117691,15.3170995712,16.0966835022
37,98.5121192932,30.81972789765,14.64169979095,15.5926990509,97.8734130859,99.1508255005,30.1456108093,31.493844986,14.7392120361,14.5441875458,15.6352968216,15.5501012802
38,99.51957321165,31.2780351639,14.93911123275,15.71407604215,99.8554763794,99.1836700439,31.2988204956,31.2572498322,15.0497102737,14.8285121918,15.5778160095,15.8503360748
39,100.0499877928,31.1140604019,14.59037733075,15.8459739685,100.541137695,99.5588378906,30.5977592468,31.630361557,14.5405950546,14.6401596069,15.7297296524,15.9622182846
40,101.125957489,31.01911449435,14.40997982025,15.88061666485,100.430801392,101.821113586,31.0345115662,31.0037174225,14.6565828323,14.1633768082,15.6845655441,16.0766677856
41,101.4626312255,30.7589111328,14.7869410515,15.93116855625,100.84753418,102.077728271,31.1443405151,30.3734817505,14.8167076111,14.7571744919,15.5506153107,16.3117218018
42,104.132663727,31.4899950027,14.37662029265,15.73306560515,105.982826233,102.282501221,31.5302829742,31.4497070312,14.2614021301,14.4918384552,15.8313474655,15.6347837448
43,103.652545929,32.260597229,14.82799863815,16.1849565506,102.092094421,105.212997437,32.0850753784,32.4361190796,14.9208917618,14.7351055145,16.1834163666,16.1864967346
44,104.4601020815,31.52181529995,14.9478359222,16.31454467775,102.855773926,106.064430237,32.2421226501,30.8015079498,14.7489624023,15.1467094421,16.2301197052,16.3989696503
45,102.135463715,32.1017551422,15.1703176498,16.10258483885,101.899124146,102.371803284,32.1718101501,32.0317001343,15.1302862167,15.2103490829,16.0150814056,16.1900882721
46,104.02848053,33.4995136261,14.9760632515,16.67867565155,104.889152527,103.167808533,34.0378837585,32.9611434937,15.2206134796,14.7315130234,16.9316940308,16.4256572723
47,105.2614974975,33.49848747255,14.86084508895,16.550113678,105.612800598,104.910194397,32.3637542725,34.6332206726,15.0522766113,14.6694135666,16.4651756287,16.6350517273
48,105.3425827025,33.05737495425,15.3137631416,16.4397716522,106.161941528,104.523223877,33.2008209229,32.9139289856,15.7415332794,14.8859930038,16.3065910339,16.5729522705
49,105.424957275,34.43460464475,15.7310123444,16.93862342835,105.056976318,105.792938232,35.1207809448,33.7484283447,15.9678640366,15.4941606522,16.5293292999,17.3479175568
50,106.649246216,34.61320495605,15.552924633,17.006111145,107.721107483,105.577384949,33.9408836365,35.2855262756,15.8123579025,15.2934913635,16.8896102905,17.1226119995
51,107.087024689,34.7574214935,15.5670380592,16.90962600705,107.20942688,106.964622498,35.0715141296,34.4433288574,15.7174119949,15.4166641235,16.8377742767,16.9814777374
52,109.005191803,33.9940032959,15.34019422535,17.2437334061,109.522003174,108.488380432,34.1138420105,33.8741645813,15.3853578568,15.2950305939,17.111322403,17.3761444092
53,108.846092224,35.1846790314,15.7235708237,17.05486774445,108.633621216,109.058563232,35.5210952759,34.8482627869,15.7969617844,15.650179863,17.2452735901,16.8644618988
54,109.160697937,34.40894317625,15.8031196594,17.3312368393,108.87021637,109.451179504,33.7391891479,35.0786972046,15.5926990509,16.0135402679,17.1210727692,17.5414009094
55,111.2551574705,35.396894455,15.8339133263,17.3204603195,111.661628723,110.848686218,35.3784179688,35.4153709412,15.7328090668,15.9350175858,17.1241531372,17.5167675018
56,111.97700119,36.20393562315,15.67558431625,17.51805019375,111.780693054,112.173309326,36.285282135,36.1225891113,15.7985010147,15.5526676178,17.3268756866,17.7092247009
57,112.858974457,36.6006565094,16.02354860305,17.45851612095,112.865135193,112.852813721,35.3517303467,37.8495826721,16.2224216461,15.82467556,17.1800937653,17.7369384766
58,115.760471344,35.6211719513,16.05639505385,17.71589756015,117.709945679,113.810997009,36.3068351746,34.935508728,16.4708213806,15.6419687271,17.5157413483,17.916053772
59,115.6855392455,35.19725227355,16.1852135658,18.09208774565,114.669616699,116.701461792,35.0022277832,35.3922767639,15.9868535995,16.3835735321,17.9063014984,18.2778739929
60,117.1741371155,35.3558368683,16.2491092682,17.7141008377,116.692222595,117.656051636,34.7841072083,35.9275665283,16.1562156677,16.3420028687,17.6717605591,17.7564411163
61,116.433559418,35.52827835085,16.36740684505,17.97045516965,116.989379883,115.877738953,35.6093673706,35.4471893311,16.6406974792,16.0941162109,17.8293190002,18.1115913391
62,118.241897583,34.05584716795,16.4210395813,17.98610782625,116.708137512,119.775657654,34.3124580383,33.7992362976,16.462097168,16.3799819946,17.9139995575,18.058216095
63,117.5095291135,36.08307266235,16.2999191284,18.1996078491,117.414840698,117.604217529,36.2652664185,35.9008789062,16.3065910339,16.2932472229,18.1069717407,18.2922439575
64,119.406398773,36.04817390445,16.56012248995,18.43902683255,119.519050598,119.293746948,36.2765579224,35.8197898865,16.5565299988,16.5637149811,18.4903488159,18.3877048492
65,120.656349182,35.54213523865,16.53394699095,18.04666805265,121.050506592,120.262191772,35.7494773865,35.3347930908,16.7500133514,16.3178806305,18.1870346069,17.9063014984
66,120.290420532,36.1095046997,16.7790107727,18.6212205887,120.631713867,119.949127197,35.8223571777,36.3966522217,17.0471687317,16.5108528137,18.6987171173,18.5437240601
67,122.3122558595,36.75641822815,17.1490440369,18.62712192535,123.620201111,121.004310608,36.5449714661,36.9678649902,17.4423503876,16.8557376862,18.6976890564,18.5565547943
68,122.015613556,35.7392139435,17.06436252595,18.74978160855,122.517288208,121.513938904,35.5021057129,35.9763221741,17.03074646,17.0979785919,18.4995861053,18.9999771118
69,121.7587471005,36.31838417055,17.4282360077,18.57528591155,122.125701904,121.391792297,36.1343955994,36.5023727417,17.2108860016,17.6455860138,18.5072841644,18.6432876587
70,123.020248413,37.4495239258,17.14083194735,18.83651638035,122.709236145,123.331260681,37.746421814,37.1526260376,17.325334549,16.9563293457,18.5837554932,19.0892772675
71,123.971248627,37.9981575012,17.2242307663,19.0310277939,124.340766907,123.601730347,38.1708564758,37.8254585266,17.422334671,17.0261268616,18.7726211548,19.289434433
72,124.8411598205,36.792345047,17.2337255478,18.9648208618,125.103416443,124.578903198,36.5973205566,36.9873695374,17.1667499542,17.3007011414,18.8937397003,19.0359020233
73,126.1270370485,37.76746368405,17.207036972,19.01768302915,126.074432373,126.179641724,37.8896102905,37.6453170776,17.4274654388,16.9866085052,18.9122161865,19.1231498718
74,126.8653030395,37.3343067169,17.37357902525,19.236828804,127.404701233,126.325904846,37.4282264709,37.2403869629,17.3463783264,17.4007797241,18.8501167297,19.6235408783
75,128.1555442815,37.45850753785,17.99021434785,19.2504301071,127.915870667,128.395217896,37.7751655579,37.1418495178,17.7728652954,18.2075634003,19.118019104,19.3828411102
76,128.6277084355,37.33404922485,17.83008861545,19.4659824371,128.752929688,128.502487183,37.280418396,37.3876800537,17.7959594727,17.8642177582,19.2109107971,19.7210540771
77,129.956176758,37.58552742005,17.84625530245,19.9181308746,130.073959351,129.838394165,37.9496574402,37.2213973999,17.693315506,17.9991950989,19.9396858215,19.8965759277
78,130.115020752,38.24912452695,17.86652755735,19.4564886093,129.853790283,130.376251221,38.6291656494,37.8690834045,17.8231601715,17.9098949432,19.3813018799,19.5316753387
79,131.614654541,38.10439491275,17.72282600405,19.87476348875,131.856384277,131.372924805,37.0977096558,39.1110801697,17.5778408051,17.867811203,19.8786125183,19.8709144592
80,132.706542969,37.7962055206,18.08079719545,20.0251379013,133.00138855,132.411697388,37.7587394714,37.8336715698,18.130065918,18.0315284729,20.1388168335,19.9114589691
81,134.7642974855,38.4908504486,18.228348732,20.16730022435,135.25340271,134.275192261,38.8596000671,38.1221008301,18.3676891327,18.0890083313,20.0782566071,20.2563438416
82,135.7884368895,38.64635849,18.1893444061,20.27712917325,136.236221313,135.340652466,38.3001899719,38.9925270081,18.246055603,18.1326332092,20.4416160583,20.1126422882
83,137.235977173,38.46236801145,18.4367170334,20.42698955535,136.9634552,137.508499146,38.6086349487,38.3161010742,18.5237083435,18.3497257233,20.2455654144,20.6084136963
84,138.415611267,39.3397216797,18.71565246585,20.6504983902,139.043533325,137.787689209,39.9312095642,38.7482337952,18.5724639893,18.8588409424,20.6176528931,20.6833438873
85,139.3224716185,39.60787773135,18.41464805605,20.83833789825,138.893676758,139.751266479,39.4852180481,39.7305374146,18.3230381012,18.5062580109,20.4636859894,21.2129898071
86,141.65070343,41.4872970581,18.92812633515,21.1709051132,140.579101562,142.722305298,42.2935676575,40.6810264587,18.8963069916,18.9599456787,21.0990543365,21.2427558899
87,141.8280181885,40.3189468384,19.19987773895,21.0723657608,141.613235474,142.042800903,40.2201499939,40.4177436829,18.8891220093,19.5106334686,20.9399547577,21.2047767639
88,142.977897644,40.20064926145,19.34742832185,21.3561782837,142.98097229,142.974822998,40.239654541,40.1616439819,19.568113327,19.1267433167,21.1606407166,21.5517158508
89,144.4457092285,40.62841796875,19.1449623108,21.47113990785,144.49446106,144.396957397,41.3687400818,39.8880958557,19.3633384705,18.9265861511,21.2802219391,21.6620578766
90,146.975379944,40.10672950745,19.5912094116,21.5401678085,147.204788208,146.74597168,40.3638534546,39.8496055603,19.5229511261,19.6594676971,21.3618240356,21.7185115814
91,147.5173416135,41.48703956605,19.4192790985,21.71646022795,147.274581909,147.760101318,40.8770751953,42.0970039368,19.568113327,19.27044487,21.5234889984,21.9094314575
92,149.000038147,41.146774292,19.68435764315,22.11292266845,148.96975708,149.030319214,40.9330177307,41.3605308533,19.745174408,19.6235408783,22.1029148102,22.1229305267
93,150.047531128,42.39800643925,20.2696876526,21.6405029297,149.887405396,150.20765686,42.4531784058,42.3428344727,20.174741745,20.3646335602,21.5311870575,21.7498188019
94,151.1170806885,41.82294273375,20.00691890715,21.9787158966,151.476333618,150.757827759,41.8208885193,41.8249969482,20.1054573059,19.9083805084,22.1834907532,21.77394104
95,151.8278884885,42.68695259095,20.13086128235,22.32231807705,151.848419189,151.807357788,42.209400177,43.1645050049,20.440076828,19.8216457367,22.2738189697,22.3708171844
96,153.0293426515,42.37773513795,19.69333934785,22.424448967,153.728866577,152.329818726,42.5866165161,42.1688537598,19.5198707581,19.8668079376,22.2230091095,22.6258888245
97,152.983657837,42.3548965454,20.70156383515,22.31590271,153.079116821,152.888198853,42.6502571106,42.0595359802,20.4585533142,20.9445743561,22.1003494263,22.5314559937
98,154.439163208,43.302816391,20.2894458771,22.88891410825,154.382705688,154.495620728,42.3838920593,44.2217407227,20.1572914124,20.4216003418,22.6248607635,23.152967453
99,155.624702454,44.0274848938,20.89273834225,23.10010528565,155.649337769,155.600067139,44.3356742859,43.7192955017,21.0954608917,20.6900157928,22.8152675629,23.3849430084
100,104.4929466245,14.08228826525,11.6788711548,12.8631300926,104.469337463,104.516555786,13.7835931778,14.3809833527,11.8040971756,11.553645134,12.6514263153,13.0748338699
101,105.613822937,14.04148674015,11.87748765945,13.5611114502,105.455749512,105.771896362,13.9904212952,14.0925521851,11.8903179169,11.864657402,13.5475111008,13.5747117996
102,106.792694092,14.385345459,11.7802324295,13.2239251137,106.676704407,106.908683777,14.1957101822,14.5749807358,11.8959636688,11.6645011902,13.0430145264,13.404835701
103,108.379829407,14.4766988754,12.0260653496,13.4412741661,108.449371338,108.310287476,14.4292259216,14.5241718292,12.2305841446,11.8215465546,13.2939796448,13.5885686874
104,109.2718086245,14.0489282608,12.08482933045,13.3768649101,109.437324524,109.106292725,13.9000940323,14.1977624893,12.0909881592,12.0786705017,13.3283653259,13.4253644943
105,110.4219398495,14.27294969555,12.3350248337,13.46565198895,110.399101257,110.444778442,14.1023035049,14.4435958862,12.3799314499,12.2901182175,13.4233112335,13.5079927444
106,111.460186005,14.16106748585,12.3132133484,13.95295619965,111.252586365,111.667785645,14.1561918259,14.1659431458,12.4856557846,12.1407709122,14.0130033493,13.89290905
107,112.6916618345,14.48311376575,12.5362076759,13.9693789482,112.534614563,112.848709106,14.4097232819,14.5565042496,12.575469017,12.4969463348,13.8364543915,14.1023035049
108,113.6862869265,15.02584552765,12.36299562455,13.8988113403,113.641120911,113.731452942,14.9003629684,15.1513280869,12.233663559,12.4923276901,13.8374814987,13.9601411819
109,114.462791443,15.2116322517,12.6701583862,14.35891389845,114.540802002,114.384780884,15.1559476852,15.2673168182,12.8053922653,12.5349245071,13.9888811111,14.7289466858
110,115.7784347535,15.3717575073,12.59214925765,14.35532188415,115.951133728,115.605735779,15.2467880249,15.4967269897,12.7797317505,12.4045667648,14.1633768082,14.5472669601
111,117.7620391845,15.62246608735,12.9685969353,14.39612293245,117.623725891,117.900352478,15.5413770676,15.7035551071,12.7966680527,13.1405258179,14.238820076,14.5534257889
112,118.5721588135,15.61451101305,12.99682426455,14.66967010495,118.324272156,118.820045471,15.6743011475,15.5547208786,12.9336977005,13.0599508286,14.5595836639,14.779756546
113,119.694828033,15.65043640135,13.0668792725,14.69533109665,119.734092712,119.655563354,15.725110054,15.5757627487,13.1615686417,12.9721899033,14.4831142426,14.9075479507
114,120.5185508725,16.07615423205,13.11050271985,14.7843747139,120.696380615,120.34072113,15.9745359421,16.177772522,13.0040092468,13.2169961929,14.647857666,14.9208917618
115,121.4000053405,15.85495567325,13.12872219085,14.7877111435,121.238342285,121.561668396,15.9765892029,15.7333221436,13.1246166229,13.1328277588,14.6596622467,14.9157600403
116,122.556037903,16.09745311735,13.24111795425,14.9881243706,122.574256897,122.537818909,15.9832611084,16.2116451263,13.2354726791,13.2467632294,14.8711099625,15.1051387787
117,123.435955048,16.35406303405,13.57265853885,15.0461177826,123.629440308,123.242469788,16.3502140045,16.3579120636,13.5690660477,13.57625103,14.9414205551,15.1508150101
118,124.8996658325,16.1736655235,13.5444316864,15.2052168846,124.621498108,125.177833557,16.3928108215,15.9545202255,13.6178226471,13.4710407257,15.0928211212,15.317612648
119,125.8355255125,15.91166591645,13.78744220735,15.2334442139,125.795753479,125.875297546,15.619386673,16.2039451599,13.8554439545,13.7194404602,15.1292600632,15.3376283646
120,127.556869507,16.5921983719,14.00248193745,15.6222090721,127.391357422,127.722381592,16.4949436188,16.689453125,13.9452581406,14.0597057343,15.5054512024,15.7389669418
121,128.768585205,16.68021583555,13.97784757615,15.6796898842,128.585113525,128.952056885,16.4815998077,16.8788318634,13.942691803,14.0130033493,15.5937252045,15.7656545639
122,129.876373291,16.7171678543,14.2637119293,15.7025284767,129.869186401,129.883560181,16.7048511505,16.7294845581,14.2121334076,14.315290451,15.7102270126,15.6948299408
123,131.386528015,17.24424648285,14.14156484605,15.91243600845,131.398590088,131.374465942,17.2755527496,17.2129402161,14.1105146408,14.1726150513,15.8908805847,15.9339914322
